outcome_OutcomeID,outcome_StudyID,outcomeType,outcomeSpecific,icdCodes,prinicpalDiagnosis,outcomeDefinition,Statistical distribution,measureType,outcomeComment,study_StudyID,reviewer,dateExtracted,title,authors,publicationYear,author,studyDesign,country,region,setting,startDate,endDate,studyLength,recruitment,samplingUnit,numberOfSamplingUnits,dataCollection,ageRange,retentionRate,inclusionCriteria,Bias in Sampling frame,Standard endpoints,Confounder,Reliability,Sufficient information,qualityComment,subgroup_StudyID,subgroup_OutcomeID,SubgroupID,subgroupType,subgroupDescription,sampleSize,personYears,populationDenominator,caseCount,measureScale,estimate,lci,uci,uciEstimate,Is confidence 95%,gasCases,gasControls,gasMethod,attributableFraction,subgroupComment,weighting
8,8,Direct sequel of post-infection reactions,Rheumatic heart disease,na,Principal,WHF criteria for definite RHD,logistic regression,prevalence,,8,Padraig,01-May-15,Echocardiographic screening for rheumatic heart disease in High and Low Risk Australian children,"Roberts K, Maguire G, Brown A, Atkinson D, Remenyi B, Wheaton G, Kelly A, Kumar RK, Su JY, Carapetis JR",2014,"Roberts et al., 2014",cross-sectional,Australia,northern and central Australia (remote),remote community,2008,2010,-99,school based,individual,4999,questionaire and echocardiogram,5-15 years,-9,age 5-15 with written consent from guardian. Indigenous children exlcuded from the low risk cohort and non-indigenous children excluded from the high risk cohort,No,Yes,No,Yes,Yes,"removal of indigenous from low-risk cohort and vice-versa limits ability to measure effect of ethnicity on tregion? Age,s ex and BMI adjusted for in the mulitvariate regression",8,8,6,Rurality,definite RHD in remote and indigenous chilrden aged 5-15,3946,-99,-99,34,per 1000,9,6,12,12,TRUE,,,,,,5
9,8,Direct sequel of post-infection reactions,Rheumatic heart disease,na,Principal,WHF criteria for definite RHD,logistic regression,odds ratio,adjusted Odds ratio High risk vs low risk,8,Padraig,01-May-15,Echocardiographic screening for rheumatic heart disease in High and Low Risk Australian children,"Roberts K, Maguire G, Brown A, Atkinson D, Remenyi B, Wheaton G, Kelly A, Kumar RK, Su JY, Carapetis JR",2014,"Roberts et al., 2014",cross-sectional,Australia,northern and central Australia (remote),remote community,2008,2010,-99,school based,individual,4999,questionaire and echocardiogram,5-15 years,-9,age 5-15 with written consent from guardian. Indigenous children exlcuded from the low risk cohort and non-indigenous children excluded from the high risk cohort,No,Yes,No,Yes,Yes,"removal of indigenous from low-risk cohort and vice-versa limits ability to measure effect of ethnicity on tregion? Age,s ex and BMI adjusted for in the mulitvariate regression",8,9,7,Rurality,definite or borderline RHD in remote indigenous compared to urban non-indigenous children aged 5-15 years,4999,-99,-99,100,ratio,6,2,14,14,TRUE,,,,,,5
11,10,Post GAS infection reactions,Rheumatic Fever,-9,Not stated,Not stated,-9,incidence,"not defined beyound ""paedatric admissions for acute rheumatic fever""",10,Padraig,04-May-15,Burden of paediatric pyoderma and scabies in North West Queensland,"Whitehall J, Kuzulugil D, Sheldrick K, Wood A",2013,"Whitehall et al., 2013",retrospective cohort,Australia,North west Queensland,hospital admissions,2006,2010,5 years,hospital record audit,individual,-9,hospital and clinical records,<14 years,,children less than 14 years of age admitted to the childrens ward of Mt Isa Base Hospital between 2006 and 2010,Yes,Unclear,No,Unclear,No,"potential for bias as only captures admissions to the central hospital, might miss cases that arent reported. Sample is almost entirely  indigenous and only the one age group",10,11,10,Total,"indigenous children 5-14  years, admissions 2006-2010",-9,-9,-9,29,per 100000,67,-9,-9,67,TRUE,0,0,,0,,5
12,10,Superficial GAS disease,Pyoderma,-9,Not stated,not stated,-9,,"not defined beyond ""pyoderma"" although mention of microbiological id and skin swabs data collected",10,Padraig,04-May-15,Burden of paediatric pyoderma and scabies in North West Queensland,"Whitehall J, Kuzulugil D, Sheldrick K, Wood A",2013,"Whitehall et al., 2013",retrospective cohort,Australia,North west Queensland,hospital admissions,2006,2010,5 years,hospital record audit,individual,-9,hospital and clinical records,<14 years,,children less than 14 years of age admitted to the childrens ward of Mt Isa Base Hospital between 2006 and 2010,Yes,Unclear,No,Unclear,No,"potential for bias as only captures admissions to the central hospital, might miss cases that arent reported. Sample is almost entirely  indigenous and only the one age group",10,12,11,Total,admissions with skin swabs of pyoderma and presumed scabies children in the study period,-9,-9,-9,113,-9,-9,-9,-9,-9,TRUE,71,-9,culture,-9,% of admissions swabbed (n=79) that grew GAS only when cultured,5
13,11,Invasive and toxin-mediated GAS disease,Bacteraemia,-9,Not stated,blood culture isolates responsible clinical illnes,not stated,point prevalence,,11,Padraig,04-May-15,Bacteraemias in tropical Australia: changing trends over a 10-year period,"Porter S, Ketheesan N, Norton R",2013,"Porter et al., 2013",retrospective cohort,Australia,Townsville,hopsital based blood samples,1 jan 2000,31 Dec 2009,10 years,Pathology department records,consecutive blood samples,64126,clinical records,-9,99.2,Blood cultures within the study period with recorded significance,No,Yes,No,Unclear,No,"Bias risk low. Only hospital sample but bacteraemia severe and very likely to be hospitalised
endpoint defined according to published literature
'standard method' for condition measurement",11,13,12,GAS,positive blood cultures from significant bacteraemiasblood cultures positive for significant bacteraemias,64126,-9,-9,9047,per 1000 admissions,10.12,-9,-9,10.12,TRUE,3,-9,"gram stain and subculture. Identification using ""standard methods"" (not given)",-9,,5
15,12,Invasive and toxin-mediated GAS disease,Bacteraemia,-9,Not stated,not specifically defined,poisson,rate,proportion of STSS also given,12,Padraig,05-May-15,Changes in the clinical and epidemiological features of group A streptococcal bacteraemia in Aiustralia's Northern Territory,"Gear RJ, Carter JC, Carapetis JR, Baird R, Davis JS",2015,"Gear et al., 2015",retrospective cohort,Australia,Top End,"hospital, laboratory",1998,2009,12 years,,GAS blood culture isolates,295,"routinely collected hospital data, RDH microbiology database",mean(SD): 42.1 (22.0),-9,,No,Yes,Yes,Unclear,Yes,"selection bias risk low for the aim, all hospitals in region. Justify because of severirty of bacteraemia likely cases will be hospitalised and blood sampled.
Justify decision to use this population (high risk)
measurement of microbiological confirmatio",12,15,13,Total,age-adjusted total incidence rate GAS bacteraemia cases in the Top End 1998-2009,295,-9,-9,295,per 100000 people,15.2,13.4,16.9,16.9,TRUE,0,0,,0,,5
15,12,Invasive and toxin-mediated GAS disease,Bacteraemia,-9,Not stated,not specifically defined,poisson,rate,proportion of STSS also given,12,Padraig,05-May-15,Changes in the clinical and epidemiological features of group A streptococcal bacteraemia in Aiustralia's Northern Territory,"Gear RJ, Carter JC, Carapetis JR, Baird R, Davis JS",2015,"Gear et al., 2015",retrospective cohort,Australia,Top End,"hospital, laboratory",1998,2009,12 years,,GAS blood culture isolates,295,"routinely collected hospital data, RDH microbiology database",mean(SD): 42.1 (22.0),-9,,No,Yes,Yes,Unclear,Yes,"selection bias risk low for the aim, all hospitals in region. Justify because of severirty of bacteraemia likely cases will be hospitalised and blood sampled.
Justify decision to use this population (high risk)
measurement of microbiological confirmatio",12,15,14,Ethnicity,age adjusted indigenous incidence GAS Bacteraemia Top End 1998-2009,295,-9,-9,295,per 100000 people,59.4,51.2,67.6,67.6,TRUE,0,0,,0,,5
16,13,Post GAS infection reactions,Rheumatic Fever,ICD.9(390-392) ICD.10(I00-I02),Principal,"first known admission to hopsital for ARF, diagnosed by ICD-9 and ICD-10 coding",negative binomial,incidence rate,,13,Padraig,05-May-15,Acute rheumatic fever associated with household crowding in a Developed Country,"Jaine R, Baker M, Venugopal K",2011,"Jaine et al., 2011",retrospective cohort,New Zealand,small populations,public funded hospital admissions,1996,2005,10 year period,,first hospital admissions,1249,NZ health Information service,-9,-9,new zealand public hospital admissions between 1996 and 2005. NZ resident only,No,Yes,Unclear,Yes,Yes,,13,16,15,Total,average annual age-standardized rate (2001 NZ population),-9,-9,-9,1249,per 100000,3.4,-9,-9,3.4,TRUE,0,0,,0,,5
17,14,Post GAS infection reactions,Rheumatic Fever,no,Not stated,National heart Foundation Guidelines Australia,-9,rate,,14,Padraig,06-May-15,Acute rheumatic fever in Indigenous people in North Queensland: some good news at last,"Hanna JN, Clark MF",2010,"Hanna et al., 2010",prospective cohort,Australia,north queensland,community,mid 2004,mid 2009,5 years,medical practictioners,ARF notifications,203,Queensland Helath's lab database and clinical records,median: 12.6,-9,-9,Yes,Unclear,Unclear,Unclear,No,vague about popualtion and setting,14,17,16,Total,"total annual incidence of ARF notifications. North Queensland, indigenous population mid 2004 to mid 2009. Population denominator is based on the ERP 2006",203,-9,68400,203,per 100000,59,51,68,68,TRUE,0,0,,0,,5
17,14,Post GAS infection reactions,Rheumatic Fever,no,Not stated,National heart Foundation Guidelines Australia,-9,rate,,14,Padraig,06-May-15,Acute rheumatic fever in Indigenous people in North Queensland: some good news at last,"Hanna JN, Clark MF",2010,"Hanna et al., 2010",prospective cohort,Australia,north queensland,community,mid 2004,mid 2009,5 years,medical practictioners,ARF notifications,203,Queensland Helath's lab database and clinical records,median: 12.6,-9,-9,Yes,Unclear,Unclear,Unclear,No,vague about popualtion and setting,14,17,17,Age,"annual incidence ARF notifications in children aged 5-14 years, north queensland indigenous population 2004-2009. Population denominator is the ESR 2006",203,-9,-9,131,per 100000,155,132,181,181,TRUE,0,0,,0,,5
